"index","window","method","order","RMSE","MAE","MASE","sMAPE","adf_p","kpss_p","stationarity","aic_order","aic_MASE"
"BANKNIFTY",5,"SES","",0.00295157240207457,0.00170448844645548,0.760682157553028,20.2482998992878,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",5,"Holt","",0.0029521130654154,0.00170462396906593,0.760742638826411,20.252651181333,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",5,"ARIMA","5,1,0",0.00278113832427041,0.00172394207210272,0.769363956458936,20.6371583157032,0.01,0.01,"inconclusive","5,1,0",0.769363956458936
"BANKNIFTY",10,"Naive","",0.0015332796274262,0.000793880816558376,0.771416042263713,8.66183939872172,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",10,"SES","",0.00153330314273222,0.000793883007091465,0.77141817081038,8.66184910879354,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",10,"Holt","",0.00153338197860807,0.000793922593720039,0.771456637239728,8.66299816112353,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",10,"ARIMA","0,1,0",0.0015332796274262,0.000793880816558376,0.771416042263713,8.66183939872172,0.01,0.01,"inconclusive","5,1,5",0.819183745071693
"BANKNIFTY",20,"Naive","",0.000844524881012555,0.000396856046451707,0.791146100682569,4.14725838984658,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",20,"SES","",0.000844543441633498,0.000396861535205276,0.791157042700518,4.14731140840058,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",20,"Holt","",0.000856727867709423,0.000444435515337258,0.885997399076311,4.64079304055664,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",20,"ARIMA","1,1,1",0.000837402396827251,0.000414558419115397,0.82643638599113,4.3360905706628,0.01,0.01,"inconclusive","3,1,3",0.897499447445139
"BANKNIFTY",30,"Naive","",0.000593007514448085,0.000263491034665651,0.764127690877792,2.69494290337448,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",30,"SES","",0.000593020678048124,0.000263496109488034,0.76414240793378,2.69498636819912,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",30,"Holt","",0.000597394368932718,0.000297544881464343,0.862884323538216,3.04621553863046,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",30,"ARIMA","2,1,2",0.000585881584990649,0.000285441154584608,0.827783346067149,2.9220066213226,0.01,0.01,"inconclusive","3,1,4",0.871475166770481
